Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2008","2008","1000 SLC","1218766","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2009","2009","1000 SLC","1819125","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2010","2010","1000 SLC","1500440","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2011","2011","1000 SLC","1501392","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2012","2012","1000 SLC","1582000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2013","2013","1000 SLC","1715675","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2014","2014","1000 SLC","1888810","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2015","2015","1000 SLC","1820225","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2016","2016","1000 SLC","4424354","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2017","2017","1000 SLC","6084815","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2018","2018","1000 SLC","4850210","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2019","2019","1000 SLC","5230907","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","515","Apples","2020","2020","1000 SLC","5284280","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2002","2002","1000 SLC","2562448","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2003","2003","1000 SLC","3067812","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2004","2004","1000 SLC","2177244","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2005","2005","1000 SLC","2540698","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2006","2006","1000 SLC","2172667","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2007","2007","1000 SLC","2070986","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2008","2008","1000 SLC","1665270","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2009","2009","1000 SLC","1504200","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2010","2010","1000 SLC","1996800","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2011","2011","1000 SLC","1842665","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2012","2012","1000 SLC","2045750","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2013","2013","1000 SLC","2129753","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2014","2014","1000 SLC","2061276","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2015","2015","1000 SLC","1928238","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2016","2016","1000 SLC","393668","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2017","2017","1000 SLC","3282218","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2018","2018","1000 SLC","2609968","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2019","2019","1000 SLC","3063714","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","526","Apricots","2020","2020","1000 SLC","3128126","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2002","2002","1000 SLC","7590000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2003","2003","1000 SLC","5184000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2004","2004","1000 SLC","6438000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2005","2005","1000 SLC","7009600","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2006","2006","1000 SLC","5496400","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2007","2007","1000 SLC","3478000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2008","2008","1000 SLC","1232100","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2009","2009","1000 SLC","1827360","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2010","2010","1000 SLC","1664970","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2011","2011","1000 SLC","1174656","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2012","2012","1000 SLC","1950480","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2013","2013","1000 SLC","1921296","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2014","2014","1000 SLC","1884848","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2015","2015","1000 SLC","1399845","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2016","2016","1000 SLC","967144","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2017","2017","1000 SLC","292004","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2018","2018","1000 SLC","165667","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2019","2019","1000 SLC","329118","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","44","Barley","2020","2020","1000 SLC","301709","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2002","2002","1000 SLC","836500","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2003","2003","1000 SLC","785808","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2004","2004","1000 SLC","871740","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2005","2005","1000 SLC","1139213","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2006","2006","1000 SLC","770892","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2007","2007","1000 SLC","1038436","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2008","2008","1000 SLC","997523","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2009","2009","1000 SLC","1064010","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2010","2010","1000 SLC","1442453","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2011","2011","1000 SLC","1681251","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2012","2012","1000 SLC","1783830","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2013","2013","1000 SLC","1722956","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2014","2014","1000 SLC","1713880","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2015","2015","1000 SLC","1764143","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2016","2016","1000 SLC","1631419","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2017","2017","1000 SLC","1574304","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2018","2018","1000 SLC","1487260","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2019","2019","1000 SLC","1523808","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","1062","Eggs, hen, in shell","2020","2020","1000 SLC","1528646","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2002","2002","1000 SLC","13140000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2003","2003","1000 SLC","4015000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2004","2004","1000 SLC","3840100","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2005","2005","1000 SLC","4355820","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2006","2006","1000 SLC","5240666","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2007","2007","1000 SLC","6244798","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2008","2008","1000 SLC","7178080","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2009","2009","1000 SLC","8973720","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2010","2010","1000 SLC","15070120","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2011","2011","1000 SLC","18270414","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2012","2012","1000 SLC","21743895","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2013","2013","1000 SLC","21731694","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2014","2014","1000 SLC","25658556","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2015","2015","1000 SLC","26627877","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2016","2016","1000 SLC","30171665","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2017","2017","1000 SLC","24111989","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2018","2018","1000 SLC","24328257","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2019","2019","1000 SLC","30432499","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","560","Grapes","2020","2020","1000 SLC","25809686","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2002","2002","1000 SLC","7450000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2003","2003","1000 SLC","4830000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2004","2004","1000 SLC","9840000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2005","2005","1000 SLC","7276500","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2006","2006","1000 SLC","5897173","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2007","2007","1000 SLC","3511200","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2008","2008","1000 SLC","1108800","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2009","2009","1000 SLC","936000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2010","2010","1000 SLC","954170","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2011","2011","1000 SLC","957383","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2012","2012","1000 SLC","1271000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2013","2013","1000 SLC","2579694","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2014","2014","1000 SLC","3993895","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2015","2015","1000 SLC","5387800","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2016","2016","1000 SLC","6638060","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2017","2017","1000 SLC","3599978","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2018","2018","1000 SLC","2043797","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2019","2019","1000 SLC","3488398","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","56","Maize","2020","2020","1000 SLC","5135547","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2002","2002","1000 SLC","1250000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2003","2003","1000 SLC","1710000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2004","2004","1000 SLC","900000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2005","2005","1000 SLC","1520000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2006","2006","1000 SLC","4584852","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2007","2007","1000 SLC","5381061","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2008","2008","1000 SLC","5218587","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2009","2009","1000 SLC","7844459","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2010","2010","1000 SLC","8994650","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2011","2011","1000 SLC","7111555","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2012","2012","1000 SLC","6406640","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2013","2013","1000 SLC","5018985","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2014","2014","1000 SLC","7398237","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2015","2015","1000 SLC","7823868","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2016","2016","1000 SLC","10682213","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2017","2017","1000 SLC","5594770","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2018","2018","1000 SLC","4586113","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2019","2019","1000 SLC","7115942","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","568","Melons, other (inc.cantaloupes)","2020","2020","1000 SLC","16223313","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2002","2002","1000 SLC","1452000","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2003","2003","1000 SLC","2035404","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2004","2004","1000 SLC","2510022","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2005","2005","1000 SLC","2671584","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2006","2006","1000 SLC","2379120","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2007","2007","1000 SLC","3795065","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2008","2008","1000 SLC","3588923","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2009","2009","1000 SLC","3848754","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2010","2010","1000 SLC","5410318","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2011","2011","1000 SLC","6348001","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2012","2012","1000 SLC","6409334","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2013","2013","1000 SLC","6425326","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2014","2014","1000 SLC","5751594","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2015","2015","1000 SLC","5450467","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2016","2016","1000 SLC","5042289","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2017","2017","1000 SLC","4988287","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2018","2018","1000 SLC","4671715","Fc","Calculated data"
"QV","Value of Agricultural Production","2","Afghanistan","56","Gross Production Value (current thousand SLC)","982","Milk, whole fresh sheep","2019","2019","1000 SLC","4273798","Fc","Calculated data"
